Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2006,93.31,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2007,179.82,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2008,270.4,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2009,151.9,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2010,204.45,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2011,378.57,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2012,227.63,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2013,294.98,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2014,171.91,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2015,253.34,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2016,192.69,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2017,161.61,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2018,232.87,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2019,250.06,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Northern Great Plains,40,United States,10,2020,273.49,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1995,135.24,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1996,163.48,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1997,148.2,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1998,109.18,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,1999,92.04,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2000,84.46,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2001,88.8,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2002,86.49,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2003,98.12,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2004,110.72,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2005,109.2,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2006,135,Base survey of 2003,,30,No specific size,90
